EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep= 120000
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
   0 1.25000E+16 0.000000000000000 0.000000 0.203202 9905.864315907148921 0.094162 9905.864315907878336 0.0000000000000000000000000000000005418185737861219568358333019198331658018800530441792124744833190519 -0.0000000000000000000000000000513233439414719349327663659609588976563902745587233586878911625167091451
   1 3.75000E+16 0.000000000000000 0.000000 0.206201 10052.078716290932789 0.095552 10052.078716291674937 0.0000000000000000000000000000000005523954280280161197405185731418369813563825417476764021600267147044 -0.0000000000000000000000000000514596975632940480725762949733474455945550726430444273791289246804385296
   2 6.25000E+16 0.000000000000000 0.000000 0.209137 10195.207927707442650 0.096913 10195.207927708192074 0.0000000000000000000000000000000005632936467375865747928252576548694847391191505498096517664553034538 -0.0000000000000000000000000000512346856271817796210358679438977777668884536557878470867496747350079570
   3 8.75000E+16 0.000000000000000 0.000000 0.212008 10335.165483354336175 0.098243 10335.165483355096512 0.0000000000000000000000000000000005745226119213287382320114308437489789368372897345819199120275957572 -0.0000000000000000000000000000512769038501617805081744868923745231974251491150199673877822269833515167
   4 1.12500E+17 0.000000000000000 0.000000 0.214813 10471.881103061556132 0.099543 10471.881103062327384 0.0000000000000000000000000000000005860918802800201629058159203446875585991611368863625210460321698397 -0.0000000000000000000000000000513338811967544504784380800546170490552700387513408834805141269868721840
   5 1.37500E+17 0.000000000000000 0.000000 0.217550 10605.300020164002490 0.100811 10605.300020164782836 0.0000000000000000000000000000000005980111917858045830704832956152528955961310821652938354389367402130 -0.0000000000000000000000000000512858172317925812186681864116277852967899087819189479980670759692151835
   6 1.62500E+17 0.000000000000000 0.000000 0.220218 10735.382207148762973 0.102047 10735.382207149552414 0.0000000000000000000000000000000006102904787631462465651353643168293713404761281562999117003423136241 -0.0000000000000000000000000000512548734620184788689754186333006526212937225413068416231002873827406865
   7 1.87500E+17 0.000000000000000 0.000000 0.222818 10862.101513957830321 0.103252 10862.101513958627038 0.0000000000000000000000000000000006229398754259966164896590001062028339988833313935283999066145949878 -0.0000000000000000000000000000511238086237108745275578252555590038638999518998828106672802890562795428
   8 2.12500E+17 0.000000000000000 0.000000 0.225348 10985.444786391688467 0.104424 10985.444786392494279 0.0000000000000000000000000000000006359697278254267437220551729579702644091673171121053938835152832306 -0.0000000000000000000000000000511268490300918670112877661497220892663479490663051841389354669419307546
   9 2.37500E+17 0.000000000000000 0.000000 0.227809 11105.410920161799368 0.105565 11105.410920162614275 0.0000000000000000000000000000000006493906041647091080390242402115728065750848526664803663218712147318 -0.0000000000000000000000000000511453704214071206784067104558709714079639316703303099048500046178522771
  10 2.62500E+17 0.000000000000000 0.000000 0.230201 11222.009899728658638 0.106673 11222.009899729480821 0.0000000000000000000000000000000006632133054434274861077408904408133994133654461584371006216954216772 -0.0000000000000000000000000000510658699084338785907836062139430579057237937571364503701927190980415853
  11 2.87500E+17 0.000000000000000 0.000000 0.232524 11335.261828538612463 0.107750 11335.261828539445560 0.0000000000000000000000000000000006774488763958226342149590806550060507126693793958870113350060936508 -0.0000000000000000000000000000512267577158552267716073567557501639623978657091522489130373629610694494
  12 3.12500E+17 0.000000000000000 0.000000 0.234779 11445.195978681973429 0.108795 11445.195978682815621 0.0000000000000000000000000000000006921086166929059786078103954709681675222852587123540505001491545378 -0.0000000000000000000000000000512885834808821324800492157106838354654275858269710809534162093553297936
  13 3.37500E+17 0.000000000000000 0.000000 0.236967 11551.849843053216318 0.109808 11551.849843054062148 0.0000000000000000000000000000000007072040923824045481141489928549261476018282569528681630841845720903 -0.0000000000000000000000000000510345588495297009068303448367925669554290006803544808728220713180818958
  14 3.62500E+17 0.000000000000000 0.000000 0.239088 11655.268217852253656 0.110792 11655.268217853106762 0.0000000000000000000000000000000007227471475448987025349488893339624781853814958776398238509064159800 -0.0000000000000000000000000000510168356471239448846740584906314651489664509293865785489119307561795443
  15 3.87500E+17 0.000000000000000 0.000000 0.241144 11755.502327952195628 0.111744 11755.502327953056010 0.0000000000000000000000000000000007387499161484477501982785430154053695186674599337230590028798415956 -0.0000000000000000000000000000510132386367249813843942610092137077045039460851410902157323926064849172
  16 4.12500E+17 0.000000000000000 0.000000 0.243136 11852.608969568456814 0.112667 11852.608969569324472 0.0000000000000000000000000000000007552248340888317619449316119833908055321157000559734527681097384990 -0.0000000000000000000000000000510231620363247324821167338877729798472123962655962154999294686289586810
  17 4.37500E+17 0.000000000000000 0.000000 0.245065 11946.649729697834118 0.113561 11946.649729698710871 0.0000000000000000000000000000000007721846514054994831715163643182719614126308257751751214177125031403 -0.0000000000000000000000000000511521455726400581880659963761894997325853562060064966874645611305428467
  18 4.62500E+17 0.000000000000000 0.000000 0.246933 12037.690224539504925 0.114427 12037.690224540385316 0.0000000000000000000000000000000007896424446672968459508470227289475878506776875198583937529730837062 -0.0000000000000000000000000000509759285927181863775954806460615776599250571199746724646815662271474661
  19 4.87500E+17 0.000000000000000 0.000000 0.248740 12125.799402141508835 0.115264 12125.799402142396502 0.0000000000000000000000000000000008076116295252857831830466433485301435763077535118679734901487592866 -0.0000000000000000000000000000510237518571522497916761738201790812774655337101749028812209885586606464
  20 5.12500E+17 0.000000000000000 0.000000 0.250489 12211.048899027011430 0.116075 12211.048899028812230 0.0000000000000000000000000000000008261059734333100323755723407948278214319599317473789621556739434023 -0.0000000000000000000000000001027886521876723772816927999811146962770369038380408887715940047694166581
  21 5.37500E+17 0.000000000000000 0.000000 0.252181 12293.512434521548130 0.116858 12293.512434523363481 0.0000000000000000000000000000000008451396085386858771236730455932291187147146418850151078952079533017 -0.0000000000000000000000000001029242008565278992970383653017289487352727751454328193631663260069927486
