InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.390552 0.096919 9727.578821465594956 0.092466 9727.399267205473734 0.000000 8089.987079274053031 0.002873 9796.226734883834069 0.004452 9727.578694050291233 0.0000000000
   1 3.75000E+16 0.000000000000000 0.393766 0.098671 9905.786314064394901 0.094160 9905.601949930371120 0.000000 8240.679739288709243 0.002950 9976.552886694178596 0.004510 9905.786181192022923 0.0000000000
   2 6.25000E+16 0.000000000000000 0.396992 0.100395 10081.288887272392458 0.095828 10081.099703609283097 0.000000 8389.083140120910684 0.003027 10154.176818021162035 0.004565 10081.288748852935896 0.0000000000
   3 8.75000E+16 0.000000000000000 0.400229 0.102088 10253.773417645619702 0.097467 10253.579411784907279 0.000000 8534.930828851538536 0.003104 10328.782202768965362 0.004618 10253.773273599490494 0.0000000000
   4 1.12500E+17 0.000000000000000 0.403478 0.103746 10422.909974528409293 0.099075 10422.711151325112951 0.000000 8677.942321843973332 0.003181 10500.035669025286552 0.004669 10422.909824787802791 0.0000000000
   5 1.37500E+17 0.000000000000000 0.406737 0.105367 10588.353909638542973 0.100648 10588.150281982610977 0.000000 8817.824862713270704 0.003258 10667.588901490533317 0.004717 10588.353754148702137 0.0000000000
   6 1.62500E+17 0.000000000000000 0.410008 0.106947 10749.748799628738197 0.102182 10749.540388912600974 0.000000 8954.275894673699440 0.003335 10831.081604746976154 0.004763 10749.748638349274188 0.0000000000
   7 1.87500E+17 0.000000000000000 0.413289 0.108482 10906.730374014961853 0.103674 10906.517210535068443 0.000000 9086.986363994607018 0.003411 10990.145461450698349 0.004805 10906.730206921041827 0.0000000000
   8 2.12500E+17 0.000000000000000 0.416580 0.109968 11058.931373135459580 0.105121 11058.713496405724072 0.000000 9215.644801880849627 0.003486 11144.409032238503642 0.004845 11058.931200218876256 0.0000000000
   9 2.37500E+17 0.000000000000000 0.419881 0.111403 11205.987513626823784 0.106519 11205.764972577379012 0.000000 9339.942342647715122 0.003561 11293.503772970056161 0.004882 11205.987334896934044 0.0000000000
  10 2.62500E+17 0.000000000000000 0.423191 0.112782 11347.544263429019338 0.107864 11347.317116468055247 0.000000 9459.578421716063531 0.003635 11437.070873523682167 0.004915 11347.544078913386329 0.0000000000
  11 2.87500E+17 0.000000000000000 0.426511 0.114102 11483.264334341374706 0.109154 11483.032649259119353 0.000000 9574.267079148021367 0.003707 11574.768821757073965 0.004945 11483.264144086144370 0.0000000000
  12 3.12500E+17 0.000000000000000 0.429840 0.115360 11612.835646718043790 0.110386 11612.599500415873990 0.000000 9683.743665757205235 0.003779 11706.281448307816390 0.004972 11612.835450788070375 0.0000000000
  13 3.37500E+17 0.000000000000000 0.433178 0.116554 11735.979373526048221 0.111556 11735.738851561050978 0.000000 9787.771615224462948 0.003849 11831.326054532371927 0.004995 11735.979172004508655 0.0000000000
  14 3.62500E+17 0.000000000000000 0.436524 0.117681 11852.457721661134201 0.112664 11852.212917603739697 0.000000 9886.149000979510674 0.003917 11949.661278066178056 0.005015 11852.457514648875076 0.0000000000
  15 3.87500E+17 0.000000000000000 0.439878 0.118740 11962.080978678319298 0.113706 11961.831993290337778 0.000000 9978.714476347127857 0.003984 12061.094220859467896 0.005032 11962.080766292796397 0.0000000000
  16 4.12500E+17 0.000000000000000 0.443240 0.119728 12064.713477529492593 0.114681 12064.460417778116607 0.000000 10065.352306400405723 0.004049 12165.486487130976457 0.005044 12064.713259903279322 0.0000000000
  17 4.37500E+17 0.000000000000000 0.446609 0.120645 12160.278027518343151 0.115590 12160.021005452475947 0.000000 10145.996114291527192 0.004113 12262.758676052611918 0.005053 12160.277804797362478 0.0000000000
  18 4.62500E+17 0.000000000000000 0.449985 0.121492 12248.758598936377894 0.116431 12248.497730457782382 0.000000 10220.631153006432214 0.004174 12352.893111640989446 0.005059 12248.758371277848710 0.0000000000
  19 4.87500E+17 0.000000000000000 0.453368 0.122269 12330.201045521283959 0.117205 12329.936449089702364 0.000000 10289.294932071565199 0.004234 12435.934595267139230 0.005061 12330.200813091416421 0.0000000000
  20 5.12500E+17 0.000000000000000 0.456757 0.122976 12404.711820071921466 0.117913 12404.443615386599049 0.000000 10352.076147131396283 0.004292 12511.989128513723699 0.005060 12404.711583043499559 0.0000000000
  21 5.37500E+17 0.000000000000000 0.460152 0.123616 12472.454786005051574 0.118557 12472.183092705121453 0.000000 10409.112010352462676 0.004347 12581.220714949109606 0.005056 12472.454544555006578 0.0000000000
  22 5.62500E+17 0.000000000000000 0.463553 0.124190 12533.646298680067048 0.119139 12533.371235104552397 0.000000 10460.584117402035190 0.004401 12643.846413003353518 0.005049 12533.646052987047369 0.0000000000
  23 5.87500E+17 0.000000000000000 0.466959 0.124702 12588.548891725215071 0.119660 12588.270573768206305 0.000000 10506.713136116488386 0.004453 12700.129976641299436 0.005039 12588.548641967247022 0.0000000000
  24 6.12500E+17 0.000000000000000 0.470369 0.125154 12637.463913395147756 0.120125 12637.182453485593214 0.000000 10547.752608195980429 0.004504 12750.374434071633004 0.005026 12637.463659747571000 0.0000000000
  25 6.37500E+17 0.000000000000000 0.473784 0.125550 12680.723533106061950 0.120536 12680.439039333377877 0.000000 10583.982214789215504 0.004552 12794.914027034279570 0.005011 12680.723275739626843 0.0000000000
  26 6.62500E+17 0.000000000000000 0.477203 0.125893 12718.682517187546182 0.120897 12718.395092586093597 0.000000 10615.700842645786906 0.004599 12834.105912903063654 0.004993 12718.682256266811237 0.0000000000
  27 6.87500E+17 0.000000000000000 0.480626 0.126187 12751.710145376175205 0.121211 12751.419887373498568 0.000000 10643.219765704463498 0.004645 12868.322006330939985 0.004973 12751.709881058168321 0.0000000000
  28 7.12500E+17 0.000000000000000 0.484052 0.126436 12780.182586995519159 0.121482 12779.889587021840271 0.000000 10666.856210516241845 0.004688 12897.941281760735365 0.004952 12780.182319428744449 0.0000000000
  29 7.37500E+17 0.000000000000000 0.487480 0.126644 12804.475983997492222 0.121713 12804.180327247660898 0.000000 10686.927512151827614 0.004731 12923.342787096262327 0.004928 12804.475713321236981 0.0000000000
  30 7.62500E+17 0.000000000000000 0.490912 0.126813 12824.960411534188097 0.121907 12824.662176868594543 0.000000 10703.746010672432021 0.004772 12944.899540931155570 0.004903 12824.960137877978923 0.0000000000
  31 7.87500E+17 0.000000000000000 0.494345 0.126949 12841.995554899036506 0.122069 12841.694814849495742 0.000000 10717.615391695213475 0.004812 12962.974162100092144 0.004876 12841.995278382504694 0.0000000000
  32 8.12500E+17 0.000000000000000 0.497781 0.127053 12855.923571303837889 0.122202 12855.620392255073966 0.000000 10728.824643349154940 0.004851 12977.911652315957326 0.004849 12855.923292036777639 0.0000000000
  33 8.37500E+17 0.000000000000000 0.501217 0.127130 12867.070832694214914 0.122308 12866.765275037223546 0.000000 10737.649523468135158 0.004889 12990.041152022653478 0.004820 12867.070550776626987 0.0000000000
  34 8.62500E+17 0.000000000000000 0.504655 0.127183 12875.743271891349650 0.122390 12875.435390300153813 0.000000 10744.348612250179940 0.004926 12999.671230695728809 0.004790 12875.742987413808805 0.0000000000
  35 8.87500E+17 0.000000000000000 0.508093 0.127213 12882.222363514272729 0.122452 12881.912207335482890 0.000000 10749.159898239584436 0.004963 13007.085817606965065 0.004759 12882.222076558473418 0.0000000000
  36 9.12500E+17 0.000000000000000 0.511532 0.127225 12886.770913905989801 0.122495 12886.458527427197623 0.000000 10752.305669990644674 0.004999 13012.550046787135216 0.004727 12886.770624545064493 0.0000000000
  37 9.37500E+17 0.000000000000000 0.514970 0.127220 12889.625547230498341 0.122522 12889.310970147094849 0.000000 10753.986137950074408 0.005034 13016.302654604643976 0.004695 12889.625255529810602 0.0000000000
  38 9.62500E+17 0.000000000000000 0.518408 0.127200 12891.003779098200539 0.122535 12890.687046827146332 0.000000 10754.385415562588605 0.005068 13018.563122062729235 0.004662 12891.003485115725198 0.0000000000
  39 9.87500E+17 0.000000000000000 0.521844 0.127168 12891.101581827373593 0.122536 12890.782725896682678 0.000000 10753.669444162555010 0.005102 13019.529206970541054 0.004629 12891.101285614395238 0.0000000000
  40 1.01250E+18 0.000000000000000 0.525280 0.127126 12890.226827432848950 0.122528 12889.905872562138029 0.000000 10752.099121453940825 0.005136 13019.511873201616254 0.004595 12890.226529028739606 0.0000000000
  41 1.03750E+18 0.000000000000000 0.528714 0.127074 12888.349709223801256 0.122510 12888.026681592875320 0.000000 10749.649126984244504 0.005169 13018.480687867328015 0.004561 12888.349408670514094 0.0000000000
