EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
   0 1.25000E+16 0.000000 0.000000 0.296774 14467.4 0.000000     0.0 0.0000000000000000000000000000000005231685473067766402945226879083574121649111535083887651338638882011 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   1 3.75000E+16 0.000000 0.000000 0.301071 14676.9 0.000000     0.0 0.0000000000000000000000000000000005334058510383716541156927955914381468059834928586169504520345104801 0.0000000000000007520629994609389896121332400476442420684497730358486489166125465999357402324676513672
   2 6.25000E+16 0.000000 0.000000 0.305261 14881.1 0.000000     0.0 0.0000000000000000000000000000000005439546969224908082793661970180093585776678668332178296454784450311 0.0000000000000007520629994683383076878800255294549030786609871736259069763264051289297640323638916016
   3 8.75000E+16 0.000000 0.000000 0.309342 15080.0 0.000000     0.0 0.0000000000000000000000000000000005548241582074457450363110936353775100250239455348934254837560769384 0.0000000000000007520629994753516755657474309854678758883075981485355487876631741528399288654327392578
   4 1.12500E+17 0.000000 0.000000 0.313311 15273.5 0.000000     0.0 0.0000000000000000000000000000000005660234797696582592143998511120268099550529857252920736160912439050 0.0000000000000007520629994819979272998476080725373655168857324818110221542610815959051251411437988281
   5 1.37500E+17 0.000000 0.000000 0.317166 15461.5 0.000000     0.0 0.0000000000000000000000000000000005775620863570725478295417516816659840625335802152204601656986740454 0.0000000000000007520629994882953052986137926886635181874675546050135199749320236151106655597686767578
   6 1.62500E+17 0.000000 0.000000 0.320908 15643.9 0.000000     0.0 0.0000000000000000000000000000000005894495913217868910930623195464117806165866964563844128065330028932 0.0000000000000007520629994942612631095739997200410683945599461634745619420527873444370925426483154297
   7 1.87500E+17 0.000000 0.000000 0.324534 15820.7 0.000000     0.0 0.0000000000000000000000000000000006016958057961040121579771858960629488153613643170208653260787650462 0.0000000000000007520629994999123668117378704145836624380338456680172853907606622669845819473266601562
   8 2.12500E+17 0.000000 0.000000 0.328046 15991.9 0.000000     0.0 0.0000000000000000000000000000000006143107482677971203081838939201160709920037916790841098511525131514 0.0000000000000007520629995052653796993413512731562995499015123260222459578017151216045022010803222656
   9 2.37500E+17 0.000000 0.000000 0.331443 16157.4 0.000000     0.0 0.0000000000000000000000000000000006273046545140165034372504253962896101855419475139679855077175241447 0.0000000000000007520629995103356845600362520259645084371859604689680711686605718568898737430572509766
  10 2.62500E+17 0.000000 0.000000 0.334725 16317.5 0.000000     0.0 0.0000000000000000000000000000000006406879878567368140143648683813906439749501693155663849202494228654 0.0000000000000007520629995151380725357954666443597590104862423386611336439955266541801393032073974609
  11 2.87500E+17 0.000000 0.000000 0.337896 16472.0 0.000000     0.0 0.0000000000000000000000000000000006544714497062739091623732562400805007767971012629942154132219939987 0.0000000000000007520629995196868417305261259673151388500481084355142602504429305554367601871490478516
  12 3.12500E+17 0.000000 0.000000 0.340954 16621.1 0.000000     0.0 0.0000000000000000000000000000000006686659903644537262224395702996877029103868169980446649950349976957 0.0000000000000007520629995239959944252959029543767061379053282151041504022259687189944088459014892578
  13 3.37500E+17 0.000000 0.000000 0.343904 16764.9 0.000000     0.0 0.0000000000000000000000000000000006832828200613594973915536273627953490973691956034842761743825643680 0.0000000000000007520629995280784482174277916738580779293144073019417028547195513965561985969543457031
  14 3.62500E+17 0.000000 0.000000 0.346746 16903.5 0.000000     0.0 0.0000000000000000000000000000000006983334202062996446541615195786913326002869141859540352930885471581 0.0000000000000007520629995319466276661790230616944889491785495791442706092766457004472613334655761719
  15 3.87500E+17 0.000000 0.000000 0.349483 17036.9 0.000000     0.0 0.0000000000000000000000000000000007138295548353502064568302318411671760123398061913077540120042387313 0.0000000000000007520629995356125629003542175479184680581183175367143700640326642314903438091278076172
  16 4.12500E+17 0.000000 0.000000 0.352118 17165.3 0.000000     0.0 0.0000000000000000000000000000000007297832822428245301032023357659104936273066197440945975722118520358 0.0000000000000007520629995390872979726264692978057794560476701818674261090791333117522299289703369141
