EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep=      2
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
   0 1.25000E+16 0.986128693810572 0.994831 0.003930 378.175367886445656 0.000000 0.000000000000000 0.0000000000000000007834256663525833423630348215184450521403929199380875448427419271979488257784396410 0.0000000000000000048502334849236050993598839921891620369962397563623132668020332403102656826376914978
   1 3.75000E+16 0.987390893335122 0.994996 0.003697 356.200622208601033 0.000000 0.000000000000000 0.0000000000000000007374188572319057920384010490768123598795233088337166237058450946051380014978349209 0.0000000000000000044061081967014543917106250127724352290099417226571214961650113650648563634604215622
   2 6.25000E+16 0.988523091261005 0.995155 0.003482 335.759892302176922 0.000000 0.000000000000000 0.0000000000000000006946880439956449695082746174785407371480112360217866723094415348782604269217699766 0.0000000000000000040082242116813928419359882723452528237779010987344458644132672020532481838017702103
   3 8.75000E+16 0.989539680992922 0.995308 0.003281 316.734046779638675 0.000000 0.000000000000000 0.0000000000000000006549693559619008387194856486703226433609107143754145437253288974943643552251160145 0.0000000000000000036513674909947338345919238834374748233209552524133022222141420343177742324769496918
   4 1.12500E+17 0.990453400337688 0.995457 0.003095 299.013324541482689 0.000000 0.000000000000000 0.0000000000000000006180212232963610099434131602345004310405414725658609313013736041853007918689399958 0.0000000000000000033309426435770386850182266908374754329193277447825408121850898623961256816983222961
   5 1.37500E+17 0.991275524151539 0.995600 0.002922 282.496708698877285 0.000000 0.000000000000000 0.0000000000000000005836225974886845559145644743300490498211902833919210477342520704269190900959074497 0.0000000000000000030428969532444003105636039143676472596177405941110906753555020998192048864439129829
   6 1.62500E+17 0.992016034983705 0.995739 0.002761 267.091309930585794 0.000000 0.000000000000000 0.0000000000000000005515712697511563284029463279806963959387589687265065867272095800899478490464389324 0.0000000000000000027836539678330504557091991894378588868432793569532377603303885393870586995035409927
   7 1.87500E+17 0.992683774055749 0.995873 0.002610 252.711768424586040 0.000000 0.000000000000000 0.0000000000000000005216822944326558563694191847730431883311941453898116782816885006468510255217552185 0.0000000000000000025500554245587901061919395940129556512877508392503648690374795648949657334014773369
   8 2.12500E+17 0.993286574716713 0.996002 0.002470 239.279680731370235 0.000000 0.000000000000000 0.0000000000000000004937865201741837362440950076236229880585078842282281078729377910008224716875702143 0.0000000000000000023393104451642425992847939080878529778667853746470855699768343072264542570337653160
   9 2.37500E+17 0.993831380317825 0.996127 0.002339 226.723055656611507 0.000000 0.000000000000000 0.0000000000000000004677292283875506191227649948276698920625147876914710562412658134689991129562258720 0.0000000000000000021489510728645865097168077549812369691421997026405110720048696748563088476657867432
  10 2.62500E+17 0.994324348262203 0.996248 0.002217 214.975801628764629 0.000000 0.000000000000000 0.0000000000000000004433688764280397535112890928826664450126442022236702804327546090235045994631946087 0.0000000000000000019767933433624719582769622079373230507521113877316592047361787365389318438246846199
  11 2.87500E+17 0.994770941807382 0.996364 0.002103 203.977246693320524 0.000000 0.000000000000000 0.0000000000000000004205759413297420266030623230260338620698640962971583383972484782020728744100779295 0.0000000000000000018209031866906895304633976481190708786065826547430606535682429125699854921549558640
  12 3.12500E+17 0.995176011033373 0.996477 0.001996 193.671691327563622 0.000000 0.000000000000000 0.0000000000000000003992318590038381375641977537874725562333411114251426055066218623323948122560977936 0.0000000000000000016795665474417008778954914220528459921086748938575229986303050111473567085340619087
  13 3.37500E+17 0.995543864236958 0.996586 0.001896 184.007993569780979 0.000000 0.000000000000000 0.0000000000000000003792280532297210017530379591703592660370032391353392218699691618155611649854108691 0.0000000000000000015512631898751751968747714088207080245421355653792378631594672810933843720704317093
