EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
   0 1.25000E+16 0.000000000000000 0.000000 0.203207 9906.108636696868416 0.094165 9906.108636696935719 0.0000000000000000000000000000000005231685473067766402945226879083574121649111535083887651338638882011 -0.0000000000000000000000000000047354535921671371287925367596561391529734145709130870815012003257395286
   1 3.75000E+16 0.000000000000000 0.000000 0.206215 10052.764110672356765 0.095559 10052.764110672424067 0.0000000000000000000000000000000005334058510383716541156927955914381468059834928586169504520345104801 -0.0000000000000000000000000000046663700860386172753301142368416059628799463949170251544186968062640813
   2 6.25000E+16 0.000000000000000 0.000000 0.209159 10196.275683297724754 0.096923 10196.275683297792057 0.0000000000000000000000000000000005439546969224908082793661970180093585776678668332178296454784450311 -0.0000000000000000000000000000046006913882179649408658948530875698622376390371259829498023746450760556
   3 8.75000E+16 0.000000000000000 0.000000 0.212037 10336.562665027639014 0.098256 10336.562665027708135 0.0000000000000000000000000000000005548241582074457450363110936353775100250239455348934254837560769384 -0.0000000000000000000000000000046609066189206658865509581790883473797153323902001022529974396667614700
   4 1.12500E+17 0.000000000000000 0.000000 0.214847 10473.560272043292571 0.099559 10473.560272043363511 0.0000000000000000000000000000000005660234797696582592143998511120268099550529857252920736160912439050 -0.0000000000000000000000000000047209914940357377059912252661316815187959459311827692555086101921157039
   5 1.37500E+17 0.000000000000000 0.000000 0.217589 10607.218525671471070 0.100829 10607.218525671540192 0.0000000000000000000000000000000005775620863570725478295417516816659840625335802152204601656986740454 -0.0000000000000000000000000000045419780148505755936207447230765152151676373441424328051273291711349909
   6 1.62500E+17 0.000000000000000 0.000000 0.220262 10737.502727760467678 0.102068 10737.502727760540438 0.0000000000000000000000000000000005894495913217868910930623195464117806165866964563844128065330028932 -0.0000000000000000000000000000047230185506491443573114931068377036975551629508384910997444895591119561
   7 1.87500E+17 0.000000000000000 0.000000 0.222865 10864.390361966901764 0.103274 10864.390361966974524 0.0000000000000000000000000000000006016958057961040121579771858960629488153613643170208653260787650462 -0.0000000000000000000000000000046678573653236497716326817426324201844726067116192039758704365057396749
   8 2.12500E+17 0.000000000000000 0.000000 0.225398 10987.871913197226604 0.104447 10987.871913197297545 0.0000000000000000000000000000000006143107482677971203081838939201160709920037916790841098511525131514 -0.0000000000000000000000000000045000150481549840977735561944491539005457388350175335155675459043629387
   9 2.37500E+17 0.000000000000000 0.000000 0.227861 11107.949756861755304 0.105589 11107.949756861829883 0.0000000000000000000000000000000006273046545140165034372504253962896101855419475139679855077175241447 -0.0000000000000000000000000000046796448780315522545681777972175092138696762896859206534838525073922958
  10 2.62500E+17 0.000000000000000 0.000000 0.230254 11224.637074053256583 0.106698 11224.637074053331162 0.0000000000000000000000000000000006406879878567368140143648683813906439749501693155663849202494228654 -0.0000000000000000000000000000046309969616112785669157824549609458381416798979113623999107083007388143
  11 2.87500E+17 0.000000000000000 0.000000 0.232579 11337.956518386523385 0.107775 11337.956518386601601 0.0000000000000000000000000000000006544714497062739091623732562400805007767971012629942154132219939987 -0.0000000000000000000000000000048083560141780327784513117118887137063281273540920011236480317941343143
  12 3.12500E+17 0.000000000000000 0.000000 0.234835 11447.939860844076975 0.108821 11447.939860844151553 0.0000000000000000000000000000000006686659903644537262224395702996877029103868169980446649950349976957 -0.0000000000000000000000000000045406650294280340345433653934570051848828721351940763049789041692516222
  13 3.37500E+17 0.000000000000000 0.000000 0.237024 11554.629018729830932 0.109835 11554.629018729907330 0.0000000000000000000000000000000006832828200613594973915536273627953490973691956034842761743825643680 -0.0000000000000000000000000000046084643404029369153029888742453692891553591000923960416203928323009375
  14 3.62500E+17 0.000000000000000 0.000000 0.239146 11658.066770831705071 0.110818 11658.066770831781469 0.0000000000000000000000000000000006983334202062996446541615195786913326002869141859540352930885471581 -0.0000000000000000000000000000045675751259745552332217170853032583040554129340055570632972886665525120
  15 3.87500E+17 0.000000000000000 0.000000 0.241202 11758.308336948019132 0.111771 11758.308336948095530 0.0000000000000000000000000000000007138295548353502064568302318411671760123398061913077540120042387313 -0.0000000000000000000000000000045286357759540358929171701425188349059953833318250425702092704067085177
  16 4.12500E+17 0.000000000000000 0.000000 0.243194 11855.411435610430999 0.112694 11855.411435610507397 0.0000000000000000000000000000000007297832822428245301032023357659104936273066197440945975722118520358 -0.0000000000000000000000000000044915434684498256713558867322349168898190214119856436003219450096345100
  17 4.37500E+17 0.000000000000000 0.000000 0.245123 11949.440237400203841 0.113588 11949.440237400280239 0.0000000000000000000000000000000007462069667880965993785600572664969758831708640758874628442579123384 -0.0000000000000000000000000000044562000178668297789861138113351953990696934543170903942982280512228188
  18 4.62500E+17 0.000000000000000 0.000000 0.246990 12040.463130120533606 0.114453 12040.463130120610003 0.0000000000000000000000000000000007631132908711599753963982724583558980952828283682504124313759698745 -0.0000000000000000000000000000044225122591998122295905516789206140727125651689677687404987125770396611
  19 4.87500E+17 0.000000000000000 0.000000 0.248797 12128.545041919065625 0.115290 12128.545041919145660 0.0000000000000000000000000000000007805152670755396974092992179766129002781627056166515176982577301617 -0.0000000000000000000000000000045994607626173812212340086762122690321971106643260967716812319185701436
  20 5.12500E+17 0.000000000000000 0.000000 0.250545 12213.765024614447611 0.116100 12213.765024614616777 0.0000000000000000000000000000000007984262504776215476428705628062698355466913795866056086878855898888 -0.0000000000000000000000000000096537563879462299306347808995929554083684103879228121257044918058113574
  21 5.37500E+17 0.000000000000000 0.000000 0.252236 12296.191715717301122 0.116884 12296.191715717470288 0.0000000000000000000000000000000008168599511261641566047954498012651513687788313803419023774187343482 -0.0000000000000000000000000000095890430836835518842653556716357482804833280173640375037775699335594253
  22 5.62500E+17 0.000000000000000 0.000000 0.253871 12375.905621244481154 0.117642 12375.905621244650320 0.0000000000000000000000000000000008358304466968489725095827784397161653513614894172267381019060152716 -0.0000000000000000000000000000095272795168091670562703955680263880540581608099973124570526885935762560
  23 5.87500E+17 0.000000000000000 0.000000 0.255452 12452.981854680208926 0.118374 12452.981854680379911 0.0000000000000000000000000000000008553521953288152303819600866890523944423156033747780019628948150034 -0.0000000000000000000000000000095701213678977021301818837919873159191342207188733164521525367868760793
  24 6.12500E+17 0.000000000000000 0.000000 0.256980 12527.497029970551012 0.119083 12527.497029970723815 0.0000000000000000000000000000000008754400486527565437057577726689873253315490877213412432512274907025 -0.0000000000000000000000000000096144012700733422681424730111997880159614752943789310709337586125172437
  25 6.37500E+17 0.000000000000000 0.000000 0.258458 12599.530717488652954 0.119767 12599.530717488825758 0.0000000000000000000000000000000008961092650200528507348536876366821877426948170250906160942204683006 -0.0000000000000000000000000000095594340818271318336865055272210760533689054986757560549566378130961668
